status,price,bedroom,bathroom,carpark,area,type,address,zipcode,house_url,agent_name,agent_position,agent_company,agent_sale,agent_phone,agent_location,agent_url
Sold by private treaty 8 Oct 2020,490000,2,2,1,,Apartment/Unit/Flat,3/450 Bell Street Preston VIC 3072,3072,https://www.domain.com.au/3-450-bell-street-preston-vic-3072-2015841723,George Theocharis, Senior Sales Consultant & Auctioneer,    Love & Co,6,0415 578 809,"770 High Street, Thornbury VIC 3071 770 High Street, Thornbury VIC 3071",https://www.domain.com.au/real-estate-agent/george-theocharis-1623659/
Sold by private treaty 8 Oct 2020,400000,2,1,1,,Apartment/Unit/Flat,2/10 Milner Court Cranbourne VIC 3977,3977,https://www.domain.com.au/2-10-milner-court-cranbourne-vic-3977-2016319948,Helen Fotiadis,Sales representative,Estate Agent of Victoria,2,0415 661 648,"PO Box 6077, Clyde VIC 3978",https://www.domain.com.au/real-estate-agent/helen-fotiadis-1442240/
Sold by private treaty 8 Oct 2020,480000,2,2,2,661m²,House,11 Baystone Drive Cranbourne VIC 3977,3977,https://www.domain.com.au/11-baystone-drive-cranbourne-vic-3977-2016198556,Kate Rushton,Senior Sales Consultant - Licensed Estate Agent,Ray White Cranbourne,5,0408 104 953,"Level 1 7-9 Bakewell Street, Cranbourne VIC 3977 Level 1 7-9 Bakewell Street, Cranbourne VIC 3977",https://www.domain.com.au/real-estate-agent/kate-rushton-1453244/
Sold by private treaty 8 Oct 2020,762000,3,2,1,,House,6 Warilda Court Mornington VIC 3931,3931,https://www.domain.com.au/6-warilda-court-mornington-vic-3931-2016521527,Dimitri Tantanis,Sales representative,Barry Plant Mornington,1,0425 863 681,"172 Main St, Mornington VIC 3931",https://www.domain.com.au/real-estate-agent/dimitri-tantanis-1646525/
Sold by private treaty 8 Oct 2020,2010000,4,2,2,"1,012m²",House,29 Mohilla Street Mount Eliza VIC 3930,3930,https://www.domain.com.au/29-mohilla-street-mount-eliza-vic-3930-2016521247,Louise Lupton,Director,Marshall White Mornington Peninsula,1,0414 525 298,"98 Mount Eliza Way, Mount Eliza VIC 3930 98 Mount Eliza Way, Mount Eliza VIC 3930 98 Mount Eliza Way, Mount Eliza VIC 3930",https://www.domain.com.au/real-estate-agent/louise-lupton-1769885/
Sold by private treaty 8 Oct 2020,620000,,,,"1,044m²",Vacantland,161 Wooralla Drive Mount Eliza VIC 3930,3930,https://www.domain.com.au/161-wooralla-drive-mount-eliza-vic-3930-2016525507,Andrew Gillespie,Senior Property Consultant,Bonaccorde Property Services,8,0414 680 512,"4/42 Lochiel Avenue, Mount Martha VIC 3934 4/42 Lochiel Avenue, Mount Martha VIC 3934",https://www.domain.com.au/real-estate-agent/andrew-gillespie-1626263/
Sold by private treaty 8 Oct 2020,550000,2,1,2,,Apartment/Unit/Flat,3/41 Pridham Street Maribyrnong VIC 3032,3032,https://www.domain.com.au/3-41-pridham-street-maribyrnong-vic-3032-2014785183,Frank Karavidas,Sales representative,Biggin & Scott Yarraville,8,0400 096 690,"39 Anderson Street, Yarraville VIC 3013 39 Anderson Street, Yarraville VIC 3013",https://www.domain.com.au/real-estate-agent/frank-karavidas-1629128/
Sold by private treaty 8 Oct 2020,480000,6,2,2,570m²,House,2 Patricia Place Melton West VIC 3337,3337,https://www.domain.com.au/2-patricia-place-melton-west-vic-3337-2016415553,Varun Vagdhan,Sales Professional,Reliance Real Estate Melton,15,0451 040 009,"Shop R06 Woodgrove Shopping Centre, Melton VIC 3337",https://www.domain.com.au/real-estate-agent/varun-vagdhan-1598080/
Sold by private treaty 8 Oct 2020,1320000,4,2,2,,House,57-59 Fontaine Terrace Narre Warren North VIC 3804,3804,https://www.domain.com.au/57-59-fontaine-terrace-narre-warren-north-vic-3804-2016075844,Michael Rosario,Sales Consultant,First National Real Estate Neilson Partners,5,0400 972 032,"57 High Street, Berwick VIC 3806 57 High Street, Berwick VIC 3806 57 High Street, Berwick VIC 3806",https://www.domain.com.au/real-estate-agent/michael-rosario-1212284/
Sold by private treaty 8 Oct 2020,710000,4,2,2,544m²,House,96 Empress Boulevard Ocean Grove VIC 3226,3226,https://www.domain.com.au/96-empress-boulevard-ocean-grove-vic-3226-2016307229,Liam Rock,Director,Fletchers Bellarine,20,0439 662 307,"74 Hesse Street, Queenscliff VIC 3225 74 Hesse Street, Queenscliff VIC 3225",https://www.domain.com.au/real-estate-agent/liam-rock-1095705/
Sold by private treaty 8 Oct 2020,585000,4,2,2,,House,65 Rebecca Drive Leopold VIC 3224,3224,https://www.domain.com.au/65-rebecca-drive-leopold-vic-3224-2016497767,Marcus Falconer,Director / LREA ,Hodges Geelong,32,0417 376 025,"205 Pakington Street, Geelong West VIC 3218 205 Pakington Street, Geelong West VIC 3218 205 Pakington Street, Geelong West VIC 3218",https://www.domain.com.au/real-estate-agent/marcus-falconer-941634/
Sold by private treaty 8 Oct 2020,495000,3,1,4,674m²,House,44 Rennie Street Lara VIC 3212,3212,https://www.domain.com.au/44-rennie-street-lara-vic-3212-2016487652,Michael Marmora,Sales Agent,McGrath Geelong,20,0413 506 210,"188 Moorabool Street, Geelong VIC 3220 188 Moorabool Street, Geelong VIC 3220 188 Moorabool Street, Geelong VIC 3220",https://www.domain.com.au/real-estate-agent/michael-marmora-1591448/
Sold by private treaty 8 Oct 2020,580000,4,2,2,684m²,House,35 Richard Drive Lara VIC 3212,3212,https://www.domain.com.au/35-richard-drive-lara-vic-3212-2016426762,Matthew Wade-Taylor,Sales Consultant/ Auctioneer,Ray White Lara,9,0430 006 345,"16 Hicks Street, Lara VIC 3212 16 Hicks Street, Lara VIC 3212",https://www.domain.com.au/real-estate-agent/matthew-wade-taylor-1173667/
Sold by private treaty 8 Oct 2020,420000,2,1,1,,House,3/31 Heffernan Street Laverton VIC 3028,3028,https://www.domain.com.au/3-31-heffernan-street-laverton-vic-3028-2015648296,Harman Singh,Sales representative,Ace Real Estate,21,0415 345 536,"Shop 4, 4 Neville Ave, Laverton VIC 3028",https://www.domain.com.au/real-estate-agent/harman-singh-1760613/
Sold by private treaty 8 Oct 2020,355000,,,,471m²,Vacantland,97 Clara Avenue Truganina VIC 3029,3029,https://www.domain.com.au/97-clara-avenue-truganina-vic-3029-2015392648,Tony Vercher,Sales representative,Hodges Werribee,23,0421 734 414,"Level 1, 1-13 Watton Street, Werribee VIC 3030 Level 1, 1-13 Watton Street, Werribee VIC 3030 Level 1, 1-13 Watton Street, Werribee VIC 3030",https://www.domain.com.au/real-estate-agent/tony-vercher-1565676/
Sold by private treaty 8 Oct 2020,350000,,,,400m²,Vacantland,Lot 1526/ Narada Road Truganina VIC 3029,3029,https://www.domain.com.au/lot-1526-narada-road-truganina-vic-3029-2016401377,Richard Smith,Licensed Estate Agent,Lawson Wyndham Real Estate,14,0481 137 746,"42 Station Place, Werribee VIC 3030",https://www.domain.com.au/real-estate-agent/richard-smith-1720899/
Sold at auction 8 Oct 2020,620000,3,1,1,,House,6 Karingal Way Thomastown VIC 3074,3074,https://www.domain.com.au/6-karingal-way-thomastown-vic-3074-2016428392,Rose Mickoska,Sales Specialist,Harcourts Rata & Co,12,0402 779 055,"219 High Street, Thomastown VIC 3074 219 High Street, Thomastown VIC 3074",https://www.domain.com.au/real-estate-agent/rose-mickoska-1401453/
Sold by private treaty 8 Oct 2020,1100000,3,2,1,,Apartment/Unit/Flat,4201/60 Kavanagh Street Southbank VIC 3006,3006,https://www.domain.com.au/4201-60-kavanagh-street-southbank-vic-3006-2016311030,Faith Chang,Senior Sales Consultant & Licensed Estate Agent,MICM Real Estate,10,0423 783 039,"178 City Road, Southbank VIC 3006 178 City Road, Southbank VIC 3006",https://www.domain.com.au/real-estate-agent/faith-chang-1571284/
Sold by private treaty 8 Oct 2020,392500,2,1,−,,Apartment/Unit/Flat,908/250 City Road Southbank VIC 3006,3006,https://www.domain.com.au/908-250-city-road-southbank-vic-3006-2016321272,Qiao Cai,Senior Sales Consultant & Licensed Estate Agent,MICM Real Estate,16,0478 881 369,"178 City Road, Southbank VIC 3006 178 City Road, Southbank VIC 3006",https://www.domain.com.au/real-estate-agent/qiao-cai-1495770/
Sold by private treaty 8 Oct 2020,611500,2,1,2,613m²,House,63 Cliff Street St Leonards VIC 3223,3223,https://www.domain.com.au/63-cliff-street-st-leonards-vic-3223-2016542117,Sam Lawrence,Auctioneer & Property Consultant,Ray White Drysdale,17,0447 055 200,"16 Collins Street, Drysdale VIC 3222 16 Collins Street, Drysdale VIC 3222 16 Collins Street, Drysdale VIC 3222",https://www.domain.com.au/real-estate-agent/sam-lawrence-1596582/
Sold by private treaty 8 Oct 2020,495000,3,1,8,665m²,House,19 Thomson Boulevard St Leonards VIC 3223,3223,https://www.domain.com.au/19-thomson-boulevard-st-leonards-vic-3223-2016426540,Gail Witteman,Sales representative,LJ Hooker St Leonards,22,0434 242 555,"1389 Murradoc Rd, St Leonards VIC 3223 1389 Murradoc Rd, St Leonards VIC 3223",https://www.domain.com.au/real-estate-agent/gail-witteman-984860/
Sold by private treaty 8 Oct 2020,575000,4,2,2,,House,43 Clementine Boulevard Tarneit VIC 3029,3029,https://www.domain.com.au/43-clementine-boulevard-tarneit-vic-3029-2016386635,Rajesh Kumar,Sales - Area Manager,Ray White Tarneit,17,0433 240 392,"Shop 20 / 540 Derrimut Road Tarneit Central Shopping Centre, Tarneit VIC 3029 Shop 20 / 540 Derrimut Road Tarneit Central Shopping Centre, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/rajesh-kumar-1768938/
Sold by private treaty 8 Oct 2020,815000,4,2,2,664m²,House,2 Byahamee Street Rye VIC 3941,3941,https://www.domain.com.au/2-byahamee-street-rye-vic-3941-2016522814,Tony Colles,Senior Sales Consultant,Belle Property Blairgowrie,6,0407 382 140,"2819 Point Nepean Road, Blairgowrie VIC 3942",https://www.domain.com.au/real-estate-agent/tony-colles-1724506/
Sold by private treaty 7 Oct 2020,670000,4,2,2,575m²,House,20 Scarborough Tce Craigieburn VIC 3064,3064,https://www.domain.com.au/20-scarborough-tce-craigieburn-vic-3064-2016486738,Sahil Kakar,Area Sales Manager,The Eleet Wyndham City,4,0401 926 466,"45C, 380 Sayers Road, Tarneit VIC 3029 45C, 380 Sayers Road, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/sahil-kakar-1597373/
Sold by private treaty 7 Oct 2020,625000,3,2,2,531m²,House,4 Bonang Drive Doreen VIC 3754,3754,https://www.domain.com.au/4-bonang-drive-doreen-vic-3754-2016328199,Darren Pearce,Sales representative,Ray White Doreen,2,0419 879 596,"3 & 5 111 Elation Boulevard, Doreen VIC 3754",https://www.domain.com.au/real-estate-agent/darren-pearce-1731776/
Sold by private treaty 8 Oct 2020,848000,3,1,1,490m²,House,11 Walsal Avenue Reservoir VIC 3073,3073,https://www.domain.com.au/11-walsal-avenue-reservoir-vic-3073-2016527436,Robert Pierantozzi,Sales representative,Nelson Alexander Reservoir,2,0405 415 078,"281-283 Broadway, Reservoir VIC 3073 281-283 Broadway, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/robert-pierantozzi-1472391/
Sold by private treaty 7 Oct 2020,485000,3,2,1,357m²,House,17 Jirrahlinga Terrace Craigieburn VIC 3064,3064,https://www.domain.com.au/17-jirrahlinga-terrace-craigieburn-vic-3064-2016497593,Evan Yousif,Sales representative,Harcourts Roxburgh Park,20,0431 425 544,"G052 Roxburgh Park Shopping Centre, Corner Somerton Road and David Monroe Drive,  Roxburgh Park VIC 3064",https://www.domain.com.au/real-estate-agent/evan-yousif-1525613/
Sold by private treaty 8 Oct 2020,812000,3,1,2,671m²,House,134 Rosanna Road Rosanna VIC 3084,3084,https://www.domain.com.au/134-rosanna-road-rosanna-vic-3084-2016254214,Nick Djorgonoski,Licensed Estate Agent ,Nicholson Real Estate,5,0411 604 622,"R 1, 21 Brunswick Rd, Brunswick East VIC 3057 R 1, 21 Brunswick Rd, Brunswick East VIC 3057 R 1, 21 Brunswick Rd, Brunswick East VIC 3057",https://www.domain.com.au/real-estate-agent/nick-djorgonoski-1077881/
Sold by private treaty 7 Oct 2020,1120000,3,2,1,664m²,.css-in3yi3{font-weight:bold;},.css-164r41r{margin-top:8px;},,https://www.domain.com.au/70-surrey-road-blackburn-north-vic-3130-2016517612,Martin Froese,Sales representative,Noel Jones Blackburn,3,0411 703 914,"67 - 69 Railway Road, Blackburn VIC 3130 67 - 69 Railway Road, Blackburn VIC 3130",https://www.domain.com.au/real-estate-agent/martin-froese-1616519/
Sold at auction 7 Oct 2020,1131000,2,1,−,,House,53 Luscombe Street Brunswick VIC 3056,3056,https://www.domain.com.au/53-luscombe-street-brunswick-vic-3056-2016510822,Lisa Roberts,Licensed Estate Agent ,Belle Property Carlton,8,0413 265 362,"129 Elgin Street, Carlton VIC 3053 129 Elgin Street, Carlton VIC 3053",https://www.domain.com.au/real-estate-agent/lisa-roberts-1727697/
Sold by private treaty 7 Oct 2020,520500,2,1,1,,Apartment/Unit/Flat,4/5-7 Clarence Street Bentleigh East VIC 3165,3165,https://www.domain.com.au/4-5-7-clarence-street-bentleigh-east-vic-3165-2016301796,Michael Egan,Director,Century 21 On Centre,3,0412 359 956,"363 Centre Road, Bentleigh VIC 3204 363 Centre Road, Bentleigh VIC 3204",https://www.domain.com.au/real-estate-agent/michael-egan-750799/
Sold by private treaty 7 Oct 2020,565000,3,2,2,,NewApartments/OffthePlan,33 SHANKS DRIVE Berwick VIC 3806,3806,https://www.domain.com.au/33-shanks-drive-berwick-vic-3806-2016536951,Chalith Rajapakshage,Sales representative,UpHill Real Estate,21,0452 327 583,"Suite 5C, Level 1 64 Victor Crescent, Narre Warren VIC 3805 Suite 5C, Level 1 64 Victor Crescent, Narre Warren VIC 3805",https://www.domain.com.au/real-estate-agent/chalith-rajapakshage-1628566/
Sold prior to auction 7 Oct 2020,1001000,3,1,2,554m²,House,17 Glyndon Avenue Coburg North VIC 3058,3058,https://www.domain.com.au/17-glyndon-avenue-coburg-north-vic-3058-2016402305,Louis Saba,Sales Manager & Licensed Estate Agent,Brad Teal Real Estate - Coburg | Brunswick,5,0401 325 690,"432 Sydney Rd, Coburg VIC 3058 432 Sydney Rd, Coburg VIC 3058",https://www.domain.com.au/real-estate-agent/louis-saba-1243842/
Sold by private treaty 7 Oct 2020,821000,5,3,2,910m²,House,27 Delfin Crescent Greensborough VIC 3088,3088,https://www.domain.com.au/27-delfin-crescent-greensborough-vic-3088-2016494681,Darren Jones,Sales representative,Darren Jones Real Estate,2,0425 717 111,"94 Grimshaw Street, Greensborough VIC 3088 94 Grimshaw Street, Greensborough VIC 3088",https://www.domain.com.au/real-estate-agent/darren-jones-717256/
Sold by private treaty 7 Oct 2020,745000,3,1,1,699m²,House,196 Aberdeen Street Geelong West VIC 3218,3218,https://www.domain.com.au/196-aberdeen-street-geelong-west-vic-3218-2016454102,Rod van der Chys,Sales representative,Stockdale & Leggo South Barwon,12,0418 520 353,"169a High St, Belmont VIC 3216 169a High St, Belmont VIC 3216",https://www.domain.com.au/real-estate-agent/rod-van-der-chys-1608885/
Sold by private treaty 7 Oct 2020,840000,3,2,2,710m²,House,6 Musgrove Court Greensborough VIC 3088,3088,https://www.domain.com.au/6-musgrove-court-greensborough-vic-3088-2016489062,Ashley Croall,Sales representative,Darren Jones Real Estate,12,0417 522 941,"94 Grimshaw Street, Greensborough VIC 3088 94 Grimshaw Street, Greensborough VIC 3088",https://www.domain.com.au/real-estate-agent/ashley-croall-717255/
Sold at auction 7 Oct 2020,655000,3,1,1,415m²,House,65 Bamfield Road Heidelberg Heights VIC 3081,3081,https://www.domain.com.au/65-bamfield-road-heidelberg-heights-vic-3081-2016525331,Nick Smith,Sales representative,Nelson Alexander Ivanhoe,4,0425 755 238,"146 Upper Heidelberg Road, Ivanhoe VIC 3079 146 Upper Heidelberg Road, Ivanhoe VIC 3079 146 Upper Heidelberg Road, Ivanhoe VIC 3079",https://www.domain.com.au/real-estate-agent/nick-smith-1235570/
Sold by private treaty 7 Oct 2020,365000,,,,"1,140m²",Vacantland,3 Birdwood Crescent Hidden Valley VIC 3756,3756,https://www.domain.com.au/3-birdwood-crescent-hidden-valley-vic-3756-2016465534,Wayne Dent,Sales representative,LJ Hooker Wallan,12,0407 771 435,"Shop 2, Wellington Square Shopping Centre 81-89 High Street, Wallan VIC 3756",https://www.domain.com.au/real-estate-agent/wayne-dent-1488996/
Sold by private treaty 7 Oct 2020,600000,3,2,2,533m²,House,37 Lakeside Drive Hidden Valley VIC 3756,3756,https://www.domain.com.au/37-lakeside-drive-hidden-valley-vic-3756-2016438984,Kristie Davies,Sales representative,Max Brown Real Estate Group,2,0404 329 662,"Level 1/39-41 Hewish Road, Croydon VIC 3136",https://www.domain.com.au/real-estate-agent/kristie-davies-1739579/
Sold by private treaty 7 Oct 2020,750000,2,2,2,,Apartment/Unit/Flat,28/62 Wattletree Road Armadale VIC 3143,3143,https://www.domain.com.au/28-62-wattletree-road-armadale-vic-3143-2016128612,Walter Summons,Principal / Auctioneer,Belle Property Armadale,10,0438 576 233,"1258 High Street, Armadale VIC 3143 1258 High Street, Armadale VIC 3143 1258 High Street, Armadale VIC 3143",https://www.domain.com.au/real-estate-agent/walter-summons-1151370/
Sold at auction 7 Oct 2020,957599,3,2,2,,House,57a Grange Road Fairfield VIC 3078,3078,https://www.domain.com.au/57a-grange-road-fairfield-vic-3078-2016368801,Justin Mellar,Licensed Estate Agent & Auctioneer,Jellis Craig Northcote,3,0417 996 627,"427-431 High Street, Northcote VIC 3070 427-431 High Street, Northcote VIC 3070 427-431 High Street, Northcote VIC 3070",https://www.domain.com.au/real-estate-agent/justin-mellar-1333382/
Sold by private treaty 7 Oct 2020,690000,3,1,4,591m²,House,51 Alec Crescent Fawkner VIC 3060,3060,https://www.domain.com.au/51-alec-crescent-fawkner-vic-3060-2016348602,Daniel Imbesi,Licensed Estate Agent & Auctioneer,Stockdale & Leggo Glenroy,11,0432 615 416,"201 Glenroy Road, Glenroy VIC 3046 201 Glenroy Road, Glenroy VIC 3046",https://www.domain.com.au/real-estate-agent/daniel-imbesi-984457/
Sold at auction 7 Oct 2020,906000,3,1,2,,House,14 Henry Street Eltham VIC 3095,3095,https://www.domain.com.au/14-henry-street-eltham-vic-3095-2016481503,Daniel Brittain,Sales representative,Barry Plant Eltham,13,0433 066 217,"1/958 Main Road, Eltham VIC 3095 1/958 Main Road, Eltham VIC 3095",https://www.domain.com.au/real-estate-agent/daniel-brittain-1677664/
Sold by private treaty 7 Oct 2020,635000,3,2,2,,Townhouse,1/4 Munster Court Endeavour Hills VIC 3802,3802,https://www.domain.com.au/1-4-munster-court-endeavour-hills-vic-3802-2016290888,Hero Thilakaratne,Area Specialist,Zed Real Estate,16,0423 254 756,"888 Nepean Highway, Hampton East VIC 3188 888 Nepean Highway, Hampton East VIC 3188",https://www.domain.com.au/real-estate-agent/hero-thilakaratne-1516076/
Sold by private treaty 7 Oct 2020,1090000,3,2,2,"1,059m²",House,13 Stamford Court Eltham VIC 3095,3095,https://www.domain.com.au/13-stamford-court-eltham-vic-3095-2016517677,Gayle Blackwood,Licensed Estate Agent,Morrison Kleeman Estate Agents,3,0408 776 070,"Town Square, 20 Commercial Place, Eltham VIC 3095 Town Square, 20 Commercial Place, Eltham VIC 3095",https://www.domain.com.au/real-estate-agent/gayle-blackwood-765549/
Sold by private treaty 2 Oct 2020,335000,,,,784m²,Vacantland,26 Antonio Drive Melton South VIC 3338,3338,https://www.domain.com.au/26-antonio-drive-melton-south-vic-3338-2016484950,Dinesh Khurana,Sales representative,"Okas Property Group, Truganina",9,0412 961 148,"3/209 Palmers Road, Truganina VIC 3029 3/209 Palmers Road, Truganina VIC 3029",https://www.domain.com.au/real-estate-agent/dinesh-khurana-1768769/
Sold by private treaty 2 Oct 2020,290000,,,,317m²,Vacantland,Lot 103/125 Regent Street Mernda VIC 3754,3754,https://www.domain.com.au/lot-103-125-regent-street-mernda-vic-3754-2016529678,Tony Smith,Sales representative,Max Brown Real Estate Group,39,0411 424 964,"Level 1/39-41 Hewish Road, Croydon VIC 3136",https://www.domain.com.au/real-estate-agent/tony-smith-1273160/
Sold by private treaty 2 Oct 2020,875000,4,2,2,673m²,House,13 Esperence Crescent Highton VIC 3216,3216,https://www.domain.com.au/13-esperence-crescent-highton-vic-3216-2016516010,David Villarosa,Director,Villarosa Real Estate,9,0420 884 552,"271 La Trobe Terrace, Geelong VIC 3220 271 La Trobe Terrace, Geelong VIC 3220 271 La Trobe Terrace, Geelong VIC 3220",https://www.domain.com.au/real-estate-agent/david-villarosa-1378785/
Sold by private treaty 2 Oct 2020,605800,3,2,2,,Apartment/Unit/Flat,1/19 Putt Grove Keysborough VIC 3173,3173,https://www.domain.com.au/1-19-putt-grove-keysborough-vic-3173-2016389540,Leonard Widjaja,Sales Specialist,Area Specialist Keysborough,2,0430 355 225,"485 Cheltenham Road, Keysborough VIC 3173 485 Cheltenham Road, Keysborough VIC 3173 485 Cheltenham Road, Keysborough VIC 3173",https://www.domain.com.au/real-estate-agent/leonard-widjaja-1513858/
Sold by private treaty 2 Oct 2020,460000,3,1,1,240m²,Apartment/Unit/Flat,35/1034 Nepean Highway Mornington VIC 3931,3931,https://www.domain.com.au/35-1034-nepean-highway-mornington-vic-3931-2016463208,James Stamatopoulos,Sales Consultant - Licensed Estate Agent,Harcourts Central - Frankston,3,0400 210 425,"4/454 Nepean Highway, Frankston VIC 3199",https://www.domain.com.au/real-estate-agent/james-stamatopoulos-1560509/
Sold by private treaty 2 Oct 2020,1900000,4,2,4,945m²,House,5 Victoria Crescent Mount Martha VIC 3934,3934,https://www.domain.com.au/5-victoria-crescent-mount-martha-vic-3934-2016426726,Fergus Nutt,Sales representative,Warlimont & Nutt Pty Ltd,6,03 5974 1401,"30 Lochiel Avenue, Mount Martha VIC 3934 30 Lochiel Avenue, Mount Martha VIC 3934",https://www.domain.com.au/real-estate-agent/fergus-nutt-1461685/
Sold by private treaty 2 Oct 2020,330000,2,1,1,322m²,Apartment/Unit/Flat,1/21 Gamalite Drive Harkness VIC 3337,3337,https://www.domain.com.au/1-21-gamalite-drive-harkness-vic-3337-2016347415,Max Attalla,Sales Manager,Barry Plant Melton,3,0403 214 155,"273 High St, Melton VIC 3337 273 High St, Melton VIC 3337",https://www.domain.com.au/real-estate-agent/max-attalla-819402/
Sold by private treaty 2 Oct 2020,790000,2,2,1,,Apartment/Unit/Flat,104/1146 Nepean  Highway Highett VIC 3190,3190,https://www.domain.com.au/104-1146-nepean-highway-highett-vic-3190-2015941006,Will Maxted,,Hallmarc Asset Management,,, ,https://www.domain.com.au/real-estate-agencies/hallmarcassetmanagement-6015/
Sold by private treaty 2 Oct 2020,382801,1,1,−,,NewApartments/OffthePlan,916/188 Ballarat Road Footscray VIC 3011,3011,https://www.domain.com.au/916-188-ballarat-road-footscray-vic-3011-2016287227,Abby Loh,Principal,Gibson Land,142,0498 259 267,"Collins Square Tower 5, Level 23, 727 Collins Street, Docklands VIC 3008",https://www.domain.com.au/real-estate-agent/abby-loh-1721953/
Sold by private treaty 2 Oct 2020,1360000,4,2,2,650m²,House,17 Currie Terrace Glen Waverley VIC 3150,3150,https://www.domain.com.au/17-currie-terrace-glen-waverley-vic-3150-2016369332,Grace Rodrigues,Sales representative,Biggin & Scott Glen Waverley,10,0404 851 486,"45 Myrtle Street, Glen Waverley VIC 3150 45 Myrtle Street, Glen Waverley VIC 3150",https://www.domain.com.au/real-estate-agent/grace-rodrigues-1403568/
Sold by private treaty 2 Oct 2020,855000,4,1,3,,House,19 Gladman Street Greensborough VIC 3088,3088,https://www.domain.com.au/19-gladman-street-greensborough-vic-3088-2016296644,Mark Walker,Sales Consultant / Auctioneer,Morrison Kleeman Estate Agents,2,0400 330 948,"Town Square, 20 Commercial Place, Eltham VIC 3095 Town Square, 20 Commercial Place, Eltham VIC 3095",https://www.domain.com.au/real-estate-agent/mark-walker-1746395/
Sold by private treaty 2 Oct 2020,1500000,3,2,1,,House,35 Albert Street Williamstown VIC 3016,3016,https://www.domain.com.au/35-albert-street-williamstown-vic-3016-2016126000,Michael Harvey,Director,Williams Real Estate,10,0425 737 672,"75 Ferguson Street, Williamstown VIC 3016 75 Ferguson Street, Williamstown VIC 3016 75 Ferguson Street, Williamstown VIC 3016",https://www.domain.com.au/real-estate-agent/michael-harvey-865304/
Sold by private treaty 2 Oct 2020,900000,4,2,2,,House,32 Wattlebird Crescent Reservoir VIC 3073,3073,https://www.domain.com.au/32-wattlebird-crescent-reservoir-vic-3073-2016409995,Peter Stratakos,Sales representative,Nelson Alexander Reservoir,2,0419 396 481,"281-283 Broadway, Reservoir VIC 3073 281-283 Broadway, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/peter-stratakos-1510710/
Sold by private treaty 2 Oct 2020,520000,3,1,2,587m²,House,25 Anna Street St Albans VIC 3021,3021,https://www.domain.com.au/25-anna-street-st-albans-vic-3021-2016098939,Eddy Hsu,Sales representative,Area Specialist Burnside,27,0403 491 845,"Shop 1/118-120 Westwood Drive, Burnside VIC 3023 Shop 1/118-120 Westwood Drive, Burnside VIC 3023",https://www.domain.com.au/real-estate-agent/eddy-hsu-1551685/
Sold by private treaty 2 Oct 2020,244950,,,,431m²,Vacantland,620/ Reardon Street St Leonards VIC 3223,3223,https://www.domain.com.au/620-reardon-street-st-leonards-vic-3223-2016544920,Luke Campbell,Sales representative,Neville Richards Real Estate,72,0409 554 949,"1377 Murradoc Road, St Leonards VIC 3223",https://www.domain.com.au/real-estate-agent/luke-campbell-758762/
Sold by private treaty 2 Oct 2020,660000,3,2,2,,Apartment/Unit/Flat,2/20 Halsey Street Reservoir VIC 3073,3073,https://www.domain.com.au/2-20-halsey-street-reservoir-vic-3073-2016312433,Arthur Kokkinos,Sales representative,Love & Co Reservoir,5,0403 138 750,"307 Spring St, Reservoir VIC 3073 307 Spring St, Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/arthur-kokkinos-1378625/
Sold by private treaty 2 Oct 2020,279950,,,,512m²,Vacantland,542/ Jules Street St Leonards VIC 3223,3223,https://www.domain.com.au/542-jules-street-st-leonards-vic-3223-2016544980,Trevor McManus,Sales representative,Neville Richards Real Estate,47,0448 810 074,"1377 Murradoc Road, St Leonards VIC 3223",https://www.domain.com.au/real-estate-agent/trevor-mcmanus-1369349/
Sold by private treaty 2 Oct 2020,687000,4,2,4,461m²,House,63 Gilbee Road Truganina VIC 3029,3029,https://www.domain.com.au/63-gilbee-road-truganina-vic-3029-2016333965,Kunal Chadha,Sales Executive,LJ Hooker Geelong City,7,0488 008 287,"60 Gheringhap St, Geelong VIC 3220",https://www.domain.com.au/real-estate-agent/kunal-chadha-1751557/
Sold by private treaty 2 Oct 2020,475000,4,2,2,406m²,House,17 Bavaria Lane Pakenham VIC 3810,3810,https://www.domain.com.au/17-bavaria-lane-pakenham-vic-3810-2016375892,Arben Ameti,Sales representative,Harcourts Narre Warren South,2,0434 551 577,"Shop 21 Casey Shopping Centre, Narre Warren South VIC 3805",https://www.domain.com.au/real-estate-agent/arben-ameti-1755655/
Sold by private treaty 2 Oct 2020,820000,3,2,2,,Townhouse,17 Dalgety Street Preston VIC 3072,3072,https://www.domain.com.au/17-dalgety-street-preston-vic-3072-2016538972,Alastair Surtees,Sales,Ray White Reservoir,8,0466 593 885,"286 Broadway , Reservoir VIC 3073 286 Broadway , Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/alastair-surtees-1399441/
